time,flux,flux_err,time_bin_start,time_bin_size
2390.6583307762166,1.00028965,0.0011832039907513623,2390.6565946651053,0.0034722222222222225
2390.661802998439,0.9998056000000001,0.0011829059115484473,2390.6600668873275,0.0034722222222222225
2390.665275220661,0.996935125,0.0014480468592411105,2390.6635391095497,0.0034722222222222225
2390.668747442883,0.9987431233333334,0.0011826852094128,2390.667011331772,0.0034722222222222225
2390.6722196651053,0.99979849,0.0014483990396252856,2390.670483553994,0.0034722222222222225
2390.6756918873275,0.9983855900000002,0.0011827679548066998,2390.6739557762166,0.0034722222222222225
2390.6791641095497,0.9984723499999999,0.0014473400270138752,2390.677427998439,0.0034722222222222225
2390.682636331772,1.0003492566666667,0.0011845841883779875,2390.680900220661,0.0034722222222222225
2390.686108553994,1.00121685,0.0014505668977980342,2390.684372442883,0.0034722222222222225
2390.6895807762166,1.001144,0.0011846749380946121,2390.6878446651053,0.0034722222222222225
2390.693052998439,0.9991913349999999,0.001449303178826749,2390.6913168873275,0.0034722222222222225
2390.696525220661,0.9988359966666667,0.0011836100251524692,2390.6947891095497,0.0034722222222222225
2390.699997442883,1.000553445,0.0014497444077907699,2390.698261331772,0.0034722222222222225
2390.7034696651053,1.0017319666666666,0.001185406632784342,2390.701733553994,0.0034722222222222225
2390.7069418873275,1.0015081000000001,0.001452212748470707,2390.7052057762166,0.0034722222222222225
2390.7104141095497,0.9996843599999999,0.0011846886370070506,2390.708677998439,0.0034722222222222225
2390.713886331772,0.99921123,0.001451373492753118,2390.712150220661,0.0034722222222222225
2390.717358553994,1.00149625,0.0011860267130102734,2390.715622442883,0.0034722222222222225
2390.7208307762166,1.0013678499999998,0.0014530052165495665,2390.7190946651053,0.0034722222222222225
2390.724302998439,1.0006367966666667,0.0011868672578178052,2390.7225668873275,0.0034722222222222225
2390.727775220661,0.999265155,0.0014540611588341127,2390.7260391095497,0.0034722222222222225
2390.731247442883,1.0010673433333335,0.0011881053878194038,2390.729511331772,0.0034722222222222225
2390.7347196651053,1.0021897499999999,0.0014563850366686208,2390.732983553994,0.0034722222222222225
2390.7381918873275,0.9987754633333333,0.0011896192285849117,2390.7364557762166,0.0034722222222222225
2390.7416641095497,1.00029831,0.0014576086504469934,2390.739927998439,0.0034722222222222225
2390.745136331772,1.0014850466666667,0.001191613866540801,2390.743400220661,0.0034722222222222225
2390.748608553994,1.0023618,0.0014607769337869156,2390.746872442883,0.0034722222222222225
2390.7520807762166,1.00121922,0.001193642809104236,2390.7503446651053,0.0034722222222222225
2390.755552998439,0.9996559899999999,0.0014630909071713665,2390.7538168873275,0.0034722222222222225
2390.759025220661,0.9995298266666666,0.0011949833671261617,2390.7572891095497,0.0034722222222222225
2390.762497442883,0.99894975,0.0014650441811182803,2390.760761331772,0.0034722222222222225
2390.7659696651053,0.99825102,0.001196142358956052,2390.764233553994,0.0034722222222222225
2390.7694418873275,0.999125885,0.0014667571398714794,2390.7677057762166,0.0034722222222222225
2390.7729141095497,0.9989758833333333,0.001198709533678722,2390.771177998439,0.0034722222222222225
2390.776386331772,0.99683872,0.0014685678362539444,2390.774650220661,0.0034722222222222225
2390.779858553994,1.0009650866666666,0.0012021290439156495,2390.778122442883,0.0034722222222222225
2390.7833307762166,0.9998590549999999,0.0014726111433686908,2390.7815946651053,0.0034722222222222225
2390.786802998439,0.9993767733333333,0.001203973863672891,2390.7850668873275,0.0034722222222222225
2390.790275220661,0.99786022,0.0014746221703346464,2390.7885391095497,0.0034722222222222225
2390.793747442883,0.9978714033333334,0.0012055300153638417,2390.792011331772,0.0034722222222222225
2390.7972196651053,1.000365345,0.0014792576912957423,2390.795483553994,0.0034722222222222225
2390.8006918873275,0.9987864366666667,0.0012086472458969141,2390.7989557762166,0.0034722222222222225
2390.8041641095497,0.9979678700000001,0.001481476145883032,2390.802427998439,0.0034722222222222225
2390.807636331772,0.99878803,0.0012113055021786532,2390.805900220661,0.0034722222222222225
2390.811108553994,1.00085644,0.0014860603903869831,2390.809372442883,0.0034722222222222225
2390.8145807762166,1.0018977666666666,0.0012154385446299294,2390.8128446651053,0.0034722222222222225
2390.818052998439,0.9991061649999999,0.0014886871859465744,2390.8163168873275,0.0034722222222222225
2390.821525220661,1.00149012,0.001218383265198184,2390.8197891095497,0.0034722222222222225
2390.824997442883,0.998968495,0.0014914162336165666,2390.823261331772,0.0034722222222222225
2390.8284696651053,1.0001524099999999,0.001219447659163013,2390.826733553994,0.0034722222222222225
2390.8319418873275,0.99994073,0.0014952292664843776,2390.8302057762166,0.0034722222222222225
2390.8354141095497,0.9992975133333334,0.0012223780319701603,2390.833677998439,0.0034722222222222225
2390.838886331772,1.001589965,0.001499189283053802,2390.837150220661,0.0034722222222222225
2390.842358553994,1.0009140966666668,0.0012256836180693784,2390.840622442883,0.0034722222222222225
2390.8458307762166,0.999319405,0.0015006966176945042,2390.8440946651053,0.0034722222222222225
2390.849302998439,0.998526,0.0012264940322263172,2390.8475668873275,0.0034722222222222225
2390.852775220661,0.99723646,0.0015033418659362555,2390.8510391095497,0.0034722222222222225
2390.856247442883,1.00018696,0.0012295000260960037,2390.854511331772,0.0034722222222222225
2390.8597196651053,0.9996879000000001,0.001506294674777432,2390.857983553994,0.0034722222222222225
2390.8631918873275,0.99805273,0.0012302449741595782,2390.8614557762166,0.0034722222222222225
2390.8666641095497,0.99923853,0.0015097298157650072,2390.864927998439,0.0034722222222222225
2390.870136331772,0.9999193200000001,0.0012334289381678131,2390.868400220661,0.0034722222222222225
