time,flux,flux_err
0.0,-0.12266637015463813,nan
0.0013888780144952761,-0.1234477905271458,nan
0.002777756027171563,-0.12423158702072315,nan
0.004166633807471953,-0.12501775210665464,nan
0.005555511821512482,-0.1258062777607215,nan
0.006944389834643516,-0.1265971522191129,nan
0.00833326784777455,-0.12739035826520165,nan
0.009722145628529688,-0.12818588916352855,nan
0.011111023641660722,-0.12898375353822894,nan
0.012499901654791756,-0.12978398675330793,nan
0.013888779435546894,-0.1305866431347006,nan
0.015277657448677928,-0.13139177820397732,nan
0.016666535461808962,-0.1321994480364002,nan
0.018055413243018847,-0.13300969793588346,nan
0.019444291255695134,-0.13382258868981323,nan
0.020833169036450272,-0.13463819451012637,nan
0.0222220470504908,-0.13545660121960568,nan
0.02361092483079119,-0.1362779073978223,nan
0.024999802843467478,-0.1371022325282084,nan
0.026388680624222616,-0.13792969174219383,nan
0.027777558404523006,-0.13876039070972312,nan
0.02916643641765404,-0.1395944320950464,nan
0.030555314198863925,-0.14043191698981583,nan
0.031944191979164316,-0.141272935358503,nan
0.03333306999229535,-0.14211757195615432,nan
0.034721947773505235,-0.1429659043480982,nan
0.036110825553805626,-0.14381799560650865,nan
0.037499703334106016,-0.1446739051973127,nan
0.0388885813476918,-0.1455337003407846,nan
0.040277459128446935,-0.14639744590225706,nan
0.041666336908747326,-0.14726520311229307,nan
0.043055214689047716,-0.14813704790099053,nan
0.04444409247071235,-0.14901306370917478,nan
0.04583297025055799,-0.14989332391985805,nan
0.04722184803085838,-0.1507778990647817,nan
0.04861072581161352,-0.15166683641719286,nan
0.04999960359145916,-0.15256017500201174,nan
0.05138848137175955,-0.1534579511583638,nan
0.05277735915296944,-0.15436019399562806,nan
0.05416623693326983,-0.1552669181114375,nan
0.05555511471357022,-0.1561781310168504,nan
0.056943992494780105,-0.15709384265922025,nan
0.058332870275080495,-0.15801406671257845,nan
0.059721748055380885,-0.15893881555513767,nan
0.061110625835681276,-0.15986811167113552,nan
0.06249950338360577,-0.16080197758248163,nan
0.06388838116345141,-0.16174042155892823,nan
0.0652772589446613,-0.16268343307291577,nan
0.06666613672496169,-0.16363098728357484,nan
0.06805501427243144,-0.16458305132797352,nan
0.06944389205364132,-0.16553958986874096,nan
0.07083276983439646,-0.1665005640441391,nan
0.07222164761469685,-0.16746592800564575,nan
0.0736105251621666,-0.16843564311556092,nan
0.07499940294292173,-0.16940966798466783,nan
0.07638828049084623,-0.17038795398733297,nan
0.07777715827069187,-0.17137043624678017,nan
0.07916603605144701,-0.17235704223734083,nan
0.0805549135993715,-0.17334768627174402,nan
0.0819437913796719,-0.17434226863630742,nan
0.08333266892805113,-0.175340691597639,nan
0.08472154670835153,-0.17634286459254245,nan
0.08611042425582127,-0.17734870568189465,nan
0.08749930203657641,-0.17835813943357748,nan
0.08888817958404616,-0.17937108193440965,nan
0.0902770573638918,-0.18038745132805922,nan
0.09166593491227104,-0.18140714546970282,nan
0.09305481245974079,-0.1824300396973626,nan
0.09444369024004118,-0.18345598935730223,nan
0.09583256778842042,-0.18448483474523858,nan
0.09722144556872081,-0.1855164164302805,nan
0.09861032311573581,-0.18655057307338851,nan
0.0999992006636603,-0.1875871186052247,nan
0.1013880782115848,-0.18862586159859984,nan
0.10277695599143044,-0.1896666113283989,nan
0.10416583353844544,-0.19070917970366374,nan
0.10555471108591519,-0.19175338705574863,nan
0.10694358863338493,-0.19279904923116797,nan
0.10833246641414007,-0.19384598109374163,nan
0.10972134396160982,-0.1948940097179528,nan
0.11111022150907957,-0.1959429775361119,nan
0.1124990990574588,-0.19699273670179174,nan
0.11388797660492855,-0.19804314930138034,nan
0.11527685438522894,-0.199094087655578,nan
0.11666573193360819,-0.20014541951631437,nan
0.11805460948153268,-0.20119700079811753,nan
0.11944348702900243,-0.20224869984392058,nan
0.12083236457647217,-0.20330040720476172,nan
0.12222124212439667,-0.2043520389157527,nan
0.12361011967186641,-0.20540352548594998,nan
0.12499899721933616,-0.20645480186552645,nan
0.1263878747677154,-0.20750579959741355,nan
0.12777675231518515,-0.20855642974678246,nan
0.1291656298626549,-0.20960659650463598,nan
0.1305545074105794,-0.21065620485113734,nan
0.13194338495804914,-0.21170516101503034,nan
0.13333226250551888,-0.21275337725457022,nan
0.13472114005344338,-0.2138007695337668,nan
0.13611001760091312,-0.21484726356774336,nan
0.13749889514838287,-0.2158927981488093,nan
0.1388877726967621,-0.21693731334231794,nan
0.14027665001140122,-0.2179807592389838,nan
0.14166552755887096,-0.21902311381353956,nan
0.14305440510679546,-0.2200643592960975,nan
0.14444328265471995,-0.22110447411864048,nan
0.14583216020173495,-0.22214343874420783,nan
0.14722103774965944,-0.22318123077854324,nan
0.14860991506429855,-0.2242178435680418,nan
0.1499987926117683,-0.22525328129290056,nan
0.1513876701596928,-0.22628756601259542,nan
0.15277654770761728,-0.22732073200810768,nan
0.15416542525508703,-0.22835281331588558,nan
0.15555430257063563,-0.229383852361531,nan
0.15694318011856012,-0.23041389146240032,nan
0.15833205766648462,-0.2314429611492722,nan
0.15972093497975948,-0.23247108052667736,nan
0.16110981252859347,-0.23349824804309344,nan
0.1624986900760632,-0.23452444976732262,nan
0.16388756739070232,-0.23554967559263895,nan
0.16527644493908156,-0.23657391803383326,nan
0.1666653224865513,-0.23759716432948652,nan
0.1680541998011904,-0.2386193787030162,nan
0.1694430773491149,-0.23964051238056228,nan
0.17083195489658465,-0.24066050443892079,nan
0.1722208322116785,-0.24167931282585364,nan
0.17360970975914825,-0.24269689620960133,nan
0.17499858707378735,-0.24371321035695204,nan
